45.53,39.25
41.3,41.45
36.21,17.86
49.3,23.79
41,79.05
63,80.78
38.15,67.3
35.1,47.71
38.1,88.61
47.9,30.46
46.6,89.49
23,66.47
60,56.91
42,46.09
35.7,68.11
41.2,26.98
42,48.02
38,13.06
46,18.43
88.1,104.56
125,174.4
41.3,53.05
36,46.42
40,35.15
43.7,37.71
34.7,30.46
38.4,65.72
42,29.57
61,74.18
36,32.46
43.4,64.65
36.14,40.97
18.23,33.78
49,83.66
38,51.66
22.47,22.21
35.51,58.54
63.15,82.22
35.2,53.33
51.53,82.83
34.13,37.08
54,57.72
43.2,5.14
94,113.54
83,114.77
95,94.9
36.5,69.43
49,54.61
44,49.89
43,38.1
57,40.29
35.8,59.55
44,90.95
44.4,37.86
49,63.52
39,21.99
42,31.01
35,40.85
50,52.74
53,46.51
52,73.07
33,39.56
37,54.18
48,30.47
74,86.87
41,27.57
49,42.49
38,66.6
25,52.93
61,64.05
47,53.41
41,23.5
73,43.52
